"value","statistic","variable","country","total_asked","who_was_asked"
"Not receiving any of these types of financial assistance",6,"h12020_hhd_hlp_typ_text","HU",523,"Owners/Managers of SMB Businesses"
"Other (please specify)",4,"h12020_hhd_hlp_typ_text","HU",523,"Owners/Managers of SMB Businesses"
"Unemployment benefits",1,"h12020_hhd_hlp_typ_text","HU",523,"Owners/Managers of SMB Businesses"
NA,481,"h12020_hhd_hlp_typ_text","HU",523,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",4,"h12020_hhd_hlp_typ_text","ID",481,"Owners/Managers of SMB Businesses"
"Funding from family and friends",5,"h12020_hhd_hlp_typ_text","ID",481,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","ID",481,"Owners/Managers of SMB Businesses"
"Grants from private-sector companies",1,"h12020_hhd_hlp_typ_text","ID",481,"Owners/Managers of SMB Businesses"
"Grants from the government",16,"h12020_hhd_hlp_typ_text","ID",481,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",7,"h12020_hhd_hlp_typ_text","ID",481,"Owners/Managers of SMB Businesses"
"Other (please specify)",3,"h12020_hhd_hlp_typ_text","ID",481,"Owners/Managers of SMB Businesses"
"Unemployment benefits",2,"h12020_hhd_hlp_typ_text","ID",481,"Owners/Managers of SMB Businesses"
NA,442,"h12020_hhd_hlp_typ_text","ID",481,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",7,"h12020_hhd_hlp_typ_text","IL",594,"Owners/Managers of SMB Businesses"
"Funding from family and friends",7,"h12020_hhd_hlp_typ_text","IL",594,"Owners/Managers of SMB Businesses"
"Government loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",1,"h12020_hhd_hlp_typ_text","IL",594,"Owners/Managers of SMB Businesses"
"Grants from the government",39,"h12020_hhd_hlp_typ_text","IL",594,"Owners/Managers of SMB Businesses"
"Not receiving any of these types of financial assistance",3,"h12020_hhd_hlp_typ_text","IL",594,"Owners/Managers of SMB Businesses"
"Other (please specify)",3,"h12020_hhd_hlp_typ_text","IL",594,"Owners/Managers of SMB Businesses"
"Unemployment benefits",5,"h12020_hhd_hlp_typ_text","IL",594,"Owners/Managers of SMB Businesses"
NA,529,"h12020_hhd_hlp_typ_text","IL",594,"Owners/Managers of SMB Businesses"
"Bank loans (e.g. at subsidized rate, with government guarantee, with period of grace, etc)",4,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
"Crowd-sourced capital",2,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
"Funding from family and friends",12,"h12020_hhd_hlp_typ_text","IN",1299,"Owners/Managers of SMB Businesses"
