value,statistic,variable,country,total_asked,who_was_asked
No,47,bus_cdt_text,JM,55,Owners/Managers of SMB Businesses
Yes,7,bus_cdt_text,JM,55,Owners/Managers of SMB Businesses
I'm not sure,19,bus_cdt_text,JO,205,Owners/Managers of SMB Businesses
No,126,bus_cdt_text,JO,205,Owners/Managers of SMB Businesses
Yes,56,bus_cdt_text,JO,205,Owners/Managers of SMB Businesses
NA,4,bus_cdt_text,JO,205,Owners/Managers of SMB Businesses
I'm not sure,28,bus_cdt_text,JP,343,Owners/Managers of SMB Businesses
No,170,bus_cdt_text,JP,343,Owners/Managers of SMB Businesses
Yes,132,bus_cdt_text,JP,343,Owners/Managers of SMB Businesses
NA,13,bus_cdt_text,JP,343,Owners/Managers of SMB Businesses
I'm not sure,15,bus_cdt_text,KE,249,Owners/Managers of SMB Businesses
No,170,bus_cdt_text,KE,249,Owners/Managers of SMB Businesses
Yes,57,bus_cdt_text,KE,249,Owners/Managers of SMB Businesses
NA,7,bus_cdt_text,KE,249,Owners/Managers of SMB Businesses
I'm not sure,35,bus_cdt_text,KH,165,Owners/Managers of SMB Businesses
No,72,bus_cdt_text,KH,165,Owners/Managers of SMB Businesses
Yes,51,bus_cdt_text,KH,165,Owners/Managers of SMB Businesses
NA,7,bus_cdt_text,KH,165,Owners/Managers of SMB Businesses
I'm not sure,22,bus_cdt_text,KR,212,Owners/Managers of SMB Businesses
No,109,bus_cdt_text,KR,212,Owners/Managers of SMB Businesses
Yes,75,bus_cdt_text,KR,212,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,KR,212,Owners/Managers of SMB Businesses
I'm not sure,7,bus_cdt_text,KW,63,Owners/Managers of SMB Businesses
No,45,bus_cdt_text,KW,63,Owners/Managers of SMB Businesses
Yes,10,bus_cdt_text,KW,63,Owners/Managers of SMB Businesses
NA,1,bus_cdt_text,KW,63,Owners/Managers of SMB Businesses
I'm not sure,9,bus_cdt_text,LA,40,Owners/Managers of SMB Businesses
No,17,bus_cdt_text,LA,40,Owners/Managers of SMB Businesses
Yes,8,bus_cdt_text,LA,40,Owners/Managers of SMB Businesses
NA,6,bus_cdt_text,LA,40,Owners/Managers of SMB Businesses
I'm not sure,15,bus_cdt_text,LB,152,Owners/Managers of SMB Businesses
